,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,array_shape,lon x lat,lonlat_product,time x lon x lat,total_product,num_data_points,norm_cpu_times,norm_peak_memories
15,720,50,50,12.609436033999998,8.508223295211792,901.12890625,8.0,2568.0,"(5136,)",50x50,2500,720x50x50,1800000,5136,407.3140135808869,0.17545344747858255
39,5136,50,50,10.400260034999974,4.2476561069488525,2379.7265625,1.0,20544.0,"(5136,)",50x50,2500,5136x50x50,12840000,5136,493.8338063390559,0.4633423992406542
36,120,50,50,17.100099892000003,12.7430682182312,514.109375,43.0,477.7674418604651,"(5136,)",50x50,2500,120x50x50,300000,5136,300.34912266230634,0.10009917737538941
70,2160,50,50,9.130153221,3.9571807384490967,2030.7109375,3.0,6848.0,"(5136,)",50x50,2500,2160x50x50,5400000,5136,562.5316328960214,0.3953876435942368
49,48,50,50,27.568360508999945,27.37428379058838,449.95703125,107.0,192.0,"(5136,)",50x50,2500,48x50x50,120000,5136,186.3005236863217,0.0876084562402648
45,12,50,50,117.539520014,121.31083631515504,426.2421875,428.0,48.0,"(5136,)",50x50,2500,12x50x50,30000,5136,43.69594158108062,0.08299108012071651
4,1440,50,50,13.868975624,12.25762939453125,1802.55078125,4.0,5136.0,"(5136,)",50x50,2500,1440x50x50,3600000,5136,370.3229524112977,0.35096393715926794
8,120,100,50,18.043348116,16.72007703781128,621.07421875,43.0,477.7674418604651,"(5136,)",100x50,5000,120x100x50,600000,5136,284.6478362541614,0.12092566564447041
52,12,100,50,52.25986139299994,69.90750050544739,391.484375,428.0,48.0,"(5136,)",100x50,5000,12x100x50,60000,5136,98.27810222030081,0.07622359326323988
51,5136,50,100,12.099817233000069,5.915471315383911,2493.5546875,1.0,20544.0,"(5136,)",50x100,5000,5136x50x100,25680000,5136,424.4692214021619,0.48550519616433024
47,6,50,100,126.892512498,113.93064761161804,458.12890625,856.0,24.0,"(5136,)",50x100,5000,6x50x100,30000,5136,40.47520140387283,0.08919955339758567
