,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,lonlat_product,total_product,num_data_points,norm_cpu_times,norm_peak_memories,lon x lat,time x lon x lat
47,24,50,10,72.04227305,68.80635434389114,414.89453125,214.0,96.0,500,12000,5136.0,673.7225761336294,0.0807816454926012,50x10,24x50x10
57,48,50,10,42.54953085375001,42.42021858692169,331.552734375,107.0,192.0,500,24000,5136.0,1203.4351637510522,0.064554660119743,50x10,48x50x10
65,5136,10,50,2.735906453000021,1.43489408493042,931.6474609375,1.0,20544.0,500,2568000,5136.0,16627.346918017833,0.1813955336716316,10x50,5136x10x50
25,1440,50,10,4.497624418250003,3.299524426460266,538.30078125,4.0,5136.0,500,720000,5136.0,9631.341331846685,0.1048093421436915,50x10,1440x50x10
55,48,10,50,41.47770073875,42.65367341041565,333.435546875,107.0,192.0,500,24000,5136.0,1143.7328034889968,0.0649212513385903,10x50,48x10x50
0,120,100,10,11.746360239499992,11.182017743587494,345.40625,43.0,477.7674418604651,1000,120000,5136.0,2661.808248619476,0.0672519957165109,100x10,120x100x10
10,12,100,10,84.11830135099999,80.50328069925308,428.8505859375,428.0,48.0,1000,12000,5136.0,346.14582452843734,0.0834989458601051,100x10,12x100x10
69,6,100,10,110.21778927400004,154.61471152305603,654.6728515625,856.0,24.0,1000,6000,5136.0,214.41337273220776,0.1274674555222936,100x10,6x100x10
19,1440,100,10,5.3603791560000005,5.028333187103272,663.9384765625,4.0,5136.0,1000,1440000,5136.0,6846.476716119619,0.1292715102341316,100x10,1440x100x10
44,24,10,100,47.69539525725,45.52672666311264,505.1455078125,214.0,96.0,1000,24000,5136.0,742.7594738238798,0.0983538761317172,10x100,24x10x100
23,1440,10,100,5.0697666085,4.510462999343872,674.0283203125,4.0,5136.0,1000,1440000,5136.0,6677.653172607829,0.1312360436745522,10x100,1440x10x100
13,12,10,100,99.9963555325,87.6897241473198,442.021484375,428.0,48.0,1000,12000,5136.0,310.0817337607291,0.0860633731259735,10x100,12x10x100
64,5136,10,100,3.1007517237500397,1.4763138890266416,1275.5927734375,1.0,20544.0,1000,5136000,5136.0,8664.751144647846,0.2483630789403232,10x100,5136x10x100
60,5136,100,10,3.2997124802499984,1.7338818311691284,1296.515625,1.0,20544.0,1000,5136000,5136.0,8979.422091739438,0.2524368428738318,100x10,5136x100x10
54,48,10,100,28.17390465975,25.91556739807129,494.7685546875,107.0,192.0,1000,48000,5136.0,1171.1929618049394,0.0963334413332359,10x100,48x10x100
32,2160,100,10,4.984534374750001,4.524521589279175,816.3232421875,3.0,6848.0,1000,2160000,5136.0,6249.258315699815,0.1589414412358839,100x10,2160x100x10
82,720,10,100,5.3892156392500015,5.14507931470871,1232.8291015625,8.0,2568.0,1000,720000,5136.0,5391.134137369861,0.2400368188400506,10x100,720x10x100
36,2160,10,100,3.151961287000024,1.6747570633888245,899.80078125,3.0,6848.0,1000,2160000,5136.0,8272.253535600448,0.1751948561623831,10x100,2160x10x100
4,120,10,100,12.92577802875,12.067755341529846,535.7607421875,43.0,477.7674418604651,1000,120000,5136.0,2523.278506576394,0.1043147862514602,10x100,120x10x100
50,48,100,10,21.113079529250005,26.164827287197117,314.6728515625,107.0,192.0,1000,48000,5136.0,1182.196437318928,0.0612680785752531,100x10,48x100x10
41,24,100,10,34.74381198250002,39.33984249830246,351.93359375,214.0,96.0,1000,24000,5136.0,748.6511167119747,0.0685228959793613,100x10,24x100x10
72,6,10,100,137.2516781785,163.13777595758438,718.146484375,856.0,24.0,1000,6000,5136.0,189.5733995017447,0.1398260288892134,10x100,6x10x100
78,720,100,10,5.261333244500001,4.649115681648254,564.072265625,8.0,2568.0,1000,720000,5136.0,5228.817343500649,0.1098271545220015,100x10,720x100x10
9,120,50,50,6.294041234500001,4.895752489566803,417.1787109375,43.0,477.7674418604651,2500,300000,5136.0,3615.421600396898,0.0812263845283294,50x50,120x50x50
