,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,array_shape,lon x lat,lonlat_product,time x lon x lat,total_product,num_data_points,norm_cpu_times,norm_peak_memories
57,120,10,10,493.128525457,490.7361986637116,2244.66796875,8468.0,392.343882853094,"(721, 1152)",10x10,100,120x10x10,12000,830592,1684.3316845851907,0.002702491679127658
29,2160,10,10,72.14372462700001,68.51536989212036,2132.44921875,8468.0,392.343882853094,"(721, 1152)",10x10,100,2160x10x10,216000,830592,11513.01799698249,0.0025673847313121244
72,5136,10,10,70.8144165069998,62.79400658607483,2077.8671875,8468.0,392.343882853094,"(721, 1152)",10x10,100,5136x10x10,513600,830592,11729.137101876682,0.00250167011902354
73,48,10,10,1097.784751443,1191.982356548309,3515.62890625,8468.0,392.343882853094,"(721, 1152)",10x10,100,48x10x10,4800,830592,756.6073393788861,0.004232678506715692
26,1440,10,10,74.350122522,78.98601508140564,482.828125,8468.0,392.343882853094,"(721, 1152)",10x10,100,1440x10x10,144000,830592,11171.360205280496,0.0005813060142645245
37,720,10,10,111.48081409600002,136.65610122680664,2480.0859375,8468.0,392.343882853094,"(721, 1152)",10x10,100,720x10x10,72000,830592,7450.537626005747,0.002985925625939089
39,120,10,50,141.174124018,159.10311627388,466.98046875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,120x10x50,60000,830592,5883.457792124128,0.0005622260613514216
84,2160,10,50,27.04216959400037,17.58931589126587,1017.52734375,1740.0,1909.406896551724,"(721, 1152)",10x50,500,2160x10x50,1080000,830592,30714.69532475223,0.0012250627790178572
58,24,50,10,525.798167149,517.4550142288208,1085.15625,1752.0,1896.328767123288,"(721, 1152)",50x10,500,24x50x10,12000,830592,1579.678385916906,0.001306485314089228
60,24,10,50,532.960695602,512.195885181427,943.796875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,24x10x50,12000,830592,1558.4488816043252,0.0011362942034115425
80,6,50,10,1805.611656425,1994.5097749233248,3280.57421875,1752.0,1896.328767123288,"(721, 1152)",50x10,500,6x50x10,3000,830592,460.0058916569696,0.003949681936197315
79,6,10,50,1777.0330521219998,1980.4475791454315,2914.8046875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,6x10x50,3000,830592,467.4037992755223,0.003509309850684813
48,48,10,50,289.25290442200003,266.1971862316132,669.125,1740.0,1909.406896551724,"(721, 1152)",10x50,500,48x10x50,24000,830592,2871.5078994962264,0.0008056001020958545
78,5136,50,10,52.4815510519993,36.011502742767334,1360.6328125,1752.0,1896.328767123288,"(721, 1152)",50x10,500,5136x50x10,2568000,830592,15826.361518489428,0.0016381482274088843
38,120,50,10,140.563595304,164.75962257385254,469.76953125,1752.0,1896.328767123288,"(721, 1152)",50x10,500,120x50x10,60000,830592,5909.012203363612,0.0005655839825690591
47,48,50,10,285.30903687200004,272.43499064445496,671.30859375,1752.0,1896.328767123288,"(721, 1152)",50x10,500,48x50x10,24000,830592,2911.2011631536006,0.0008082290628250693
77,12,10,50,802.1762750139997,988.1992208957672,1670.703125,1740.0,1909.406896551724,"(721, 1152)",10x50,500,12x10x50,6000,830592,1035.4232926989826,0.0020114606509573896
22,1440,10,50,34.75444986900001,27.012764930725098,1022.40625,1740.0,1909.406896551724,"(721, 1152)",10x50,500,1440x10x50,720000,830592,23898.86771710533,0.0012309367896632764
71,12,50,10,935.698007628,991.2908544540404,3416.69140625,1752.0,1896.328767123288,"(721, 1152)",50x10,500,12x50x10,6000,830592,887.6710148240624,0.004113561659936527
32,1440,50,10,26.618929441000034,16.61059284210205,672.0859375,1752.0,1896.328767123288,"(721, 1152)",50x10,500,1440x50x10,720000,830592,31203.05802834706,0.0008091649540327863
16,720,10,50,48.067097225,52.94805240631104,591.1484375,1740.0,1909.406896551724,"(721, 1152)",10x50,500,720x10x50,360000,830592,17279.84521536707,0.0007117193971287949
68,5136,10,50,48.58466343300006,30.266170263290405,1317.43359375,1740.0,1909.406896551724,"(721, 1152)",10x50,500,5136x10x50,2568000,830592,17095.765233516853,0.0015861380723026467
14,2160,50,10,48.832734703,50.49963331222534,882.078125,1752.0,1896.328767123288,"(721, 1152)",50x10,500,2160x50x10,1080000,830592,17008.918403846288,0.0010619872633013561
17,720,50,10,45.806892532,47.952903747558594,597.015625,1752.0,1896.328767123288,"(721, 1152)",50x10,500,720x50x10,360000,830592,18132.467715852174,0.0007187832594101556
24,2160,100,10,31.383312959,19.49673581123352,1240.34765625,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,2160x100x10,2160000,830592,26466.039486816055,0.0014933296446992025
82,2160,10,100,24.878632324000137,13.347877740859984,1397.37109375,928.0,3580.137931034483,"(721, 1152)",10x100,1000,2160x10x100,2160000,830592,33385.7580747611,0.0016823796686580173
55,5136,100,10,51.04628020299992,30.529485940933228,2124.80078125,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,5136x100x10,5136000,830592,16271.352127851762,0.002558176314303533
25,720,100,10,29.75503090800001,22.70721912384033,748.12890625,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,720x100x10,720000,830592,27914.338337208213,0.0009007176884077863
67,5136,10,100,47.00483787800022,28.45977568626404,2104.80078125,928.0,3580.137931034483,"(721, 1152)",10x100,1000,5136x10x100,5136000,830592,17670.35134034031,0.002534097103331118
9,1440,100,10,34.214292439000005,34.33817195892334,1006.72265625,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,1440x100x10,1440000,830592,24276.170593936622,0.0012120543615276814
18,720,10,100,31.448165964,27.24858403205872,1794.375,928.0,3580.137931034483,"(721, 1152)",10x100,1000,720x10x100,720000,830592,26411.460717639704,0.0021603567094313453
8,1440,10,100,33.97774166,33.460360288619995,888.85546875,928.0,3580.137931034483,"(721, 1152)",10x100,1000,1440x10x100,1440000,830592,24445.17968001997,0.0010701469178007975
74,6,10,100,871.0437012889997,1059.6798765659332,1890.26171875,928.0,3580.137931034483,"(721, 1152)",10x100,1000,6x10x100,6000,830592,953.5595042715561,0.0022758005359430383
85,6,100,10,721.9882733360009,1019.667939901352,1848.23828125,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,6x100x10,6000,830592,1150.4231172096293,0.002225205975075609
46,48,10,100,154.180663816,211.7830781936645,701.90625,928.0,3580.137931034483,"(721, 1152)",10x100,1000,48x10x100,48000,830592,5387.13467332864,0.0008450674338303282
69,24,100,10,225.0418010069997,260.478688955307,738.90625,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,24x100x10,24000,830592,3690.8343084854946,0.0008896139741292957
34,120,10,100,75.95761871100001,83.36724472045898,711.34765625,928.0,3580.137931034483,"(721, 1152)",10x100,1000,120x10x100,120000,830592,10934.93995856028,0.0008564345144788295
61,12,10,100,556.3003505620001,543.2481822967529,1080.80859375,928.0,3580.137931034483,"(721, 1152)",10x100,1000,12x10x100,12000,830592,1493.0639521634275,0.0013012509074852635
56,48,100,10,129.58044511699995,191.83904004096985,507.203125,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,48x100x10,48000,830592,6409.856049267674,0.0006106525526371552
59,12,100,10,526.415707594,525.0502941608429,1060.40625,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,12x100x10,12000,830592,1577.8252586653382,0.0012766872905108646
42,120,100,10,69.38405274600007,77.35331845283508,455.8046875,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,120x100x10,120000,830592,11970.935209573543,0.0005487708616264063
50,24,10,100,272.49577912599995,277.07750964164734,877.37109375,928.0,3580.137931034483,"(721, 1152)",10x100,1000,24x10x100,24000,830592,3048.091249941676,0.0010563201833752311
35,5136,50,50,52.52468862899991,26.355701208114624,2294.4765625,360.0,9228.8,"(721, 1152)",50x50,2500,5136x50x50,12840000,830592,15813.363613952275,0.002762459260984936
63,24,50,50,99.39306457699968,168.8208930492401,486.08203125,360.0,9228.8,"(721, 1152)",50x50,2500,24x50x50,60000,830592,8356.639404719646,0.000585223589018435
41,120,50,50,38.33698937800011,29.53438377380371,539.5234375,360.0,9228.8,"(721, 1152)",50x50,2500,120x50x50,300000,830592,21665.551037678502,0.0006495649338062491
65,2160,50,50,24.93466451999984,11.537655353546144,2284.79296875,360.0,9228.8,"(721, 1152)",50x50,2500,2160x50x50,5400000,830592,33310.734914191074,0.0027508005961410656
5,1440,50,50,29.354223215,25.28599500656128,1890.30859375,360.0,9228.8,"(721, 1152)",50x50,2500,1440x50x50,3600000,830592,28295.48559048797,0.002275856971593755
23,720,50,50,25.23802537700001,14.89655089378357,899.06640625,360.0,9228.8,"(721, 1152)",50x50,2500,720x50x50,1800000,830592,32910.34015509539,0.0010824404837152296
81,6,50,50,309.1615540969997,403.3829369544983,858.36328125,360.0,9228.8,"(721, 1152)",50x50,2500,6x50x50,15000,830592,2686.5953705854417,0.0010334355270096508
44,12,50,50,245.351763611,241.72948479652405,567.23046875,360.0,9228.8,"(721, 1152)",50x50,2500,12x50x50,30000,830592,3385.3109012775876,0.0006829231063506512
49,48,50,50,62.13338317800003,77.61042618751526,531.87109375,360.0,9228.8,"(721, 1152)",50x50,2500,48x50x50,120000,830592,13367.886271708654,0.0006403518138267645
20,48,50,100,53.342202806,62.307668685913086,506.14453125,192.0,17304.0,"(721, 1152)",50x100,5000,48x50x100,240000,830592,15571.010500274539,0.0006093780475251387
28,24,100,50,93.123675873,90.26514983177184,505.5,180.0,18457.6,"(721, 1152)",100x50,5000,24x100x50,120000,830592,8919.235545778314,0.0006086020573277855
31,24,50,100,89.971350409,98.03378438949584,516.8828125,192.0,17304.0,"(721, 1152)",50x100,5000,24x50x100,120000,830592,9231.73872820869,0.0006223065145101325
45,6,50,100,252.723775271,246.38177347183228,580.96484375,192.0,17304.0,"(721, 1152)",50x100,5000,6x50x100,30000,830592,3286.560590151608,0.0006994587520106141
19,48,100,50,52.328340261,57.596458435058594,497.73828125,180.0,18457.6,"(721, 1152)",100x50,5000,48x100x50,240000,830592,15872.699112129785,0.0005992572541632956
15,1440,50,100,23.766090204999983,12.534693241119385,2242.28515625,192.0,17304.0,"(721, 1152)",50x100,5000,1440x50x100,7200000,830592,34948.61766641185,0.002699622866882898
12,120,50,100,40.85897061,44.00157380104065,641.0625,192.0,17304.0,"(721, 1152)",50x100,5000,120x50x100,600000,830592,20328.265435955876,0.0007718139592001849
11,120,100,50,40.41774882,43.3216233253479,639.44140625,180.0,18457.6,"(721, 1152)",100x50,5000,120x100x50,600000,830592,20550.179667329627,0.0007698622262795693
10,1440,100,50,23.037127897000005,12.114851236343384,2419.8828125,180.0,18457.6,"(721, 1152)",100x50,5000,1440x100x50,7200000,830592,36054.49445406618,0.0029134434385354063
51,5136,50,100,57.58892896800012,27.27260375022888,3048.4609375,192.0,17304.0,"(721, 1152)",50x100,5000,5136x50x100,25680000,830592,14422.772134927653,0.0036702267027614037
6,720,100,50,29.277894935,25.19975709915161,1852.8828125,180.0,18457.6,"(721, 1152)",100x50,5000,720x100x50,3600000,830592,28369.252702217884,0.002230797807467445
53,12,100,50,111.019111156,164.22349333763125,480.60546875,180.0,18457.6,"(721, 1152)",100x50,5000,12x100x50,60000,830592,7481.52269777122,0.0005786300238263792
86,2160,100,50,27.7333026769993,10.900805234909058,3211.01171875,180.0,18457.6,"(721, 1152)",100x50,5000,2160x100x50,10800000,830592,29949.26387504702,0.003865931430533884
43,6,100,50,246.375831942,231.53537940979004,565.046875,180.0,18457.6,"(721, 1152)",100x50,5000,6x100x50,30000,830592,3371.239757784083,0.0006802941456214363
76,1,100,50,1171.827729275,1231.0894956588745,1983.0,180.0,18457.6,"(721, 1152)",100x50,5000,1x100x50,5000,830592,708.8004313687647,0.002387453767914933
66,12,50,100,100.41220143500004,168.0100862979889,510.9921875,192.0,17304.0,"(721, 1152)",50x100,5000,12x50x100,60000,830592,8271.8234251409,0.0006152144344034135
83,1,50,100,927.054268594,1316.0682437419891,2102.7109375,192.0,17304.0,"(721, 1152)",50x100,5000,1x50x100,5000,830592,895.9475492839296,0.0025315810139033366
7,720,50,100,31.591960558,25.93376398086548,1939.671875,192.0,17304.0,"(721, 1152)",50x100,5000,720x50x100,3600000,830592,26291.24578941873,0.0023352884147692246
70,5136,100,50,55.09586499499983,26.91860604286194,3798.57421875,180.0,18457.6,"(721, 1152)",100x50,5000,5136x100x50,25680000,830592,15075.396312869932,0.00457333350038286
75,2160,50,100,27.510507188999327,10.134355783462524,1842.1875,192.0,17304.0,"(721, 1152)",50x100,5000,2160x50x100,10800000,830592,30191.809779942196,0.0022179210731622747
21,120,100,100,28.750863603,17.963498830795288,865.91796875,96.0,34608.0,"(721, 1152)",100x100,10000,120x100x100,1200000,830592,28889.288734733247,0.0010425310727168093
36,24,100,100,45.94538918100005,39.497520208358765,516.28515625,96.0,34608.0,"(721, 1152)",100x100,10000,24x100x100,240000,830592,18077.809651974338,0.0006215869599634959
13,720,100,100,27.462020438000025,14.357805013656616,2534.203125,96.0,34608.0,"(721, 1152)",100x100,10000,720x100x100,7200000,830592,30245.11622788995,0.0030510805846914006
54,2160,100,100,33.64590483799998,11.61834192276001,2526.5234375,96.0,34608.0,"(721, 1152)",100x100,10000,2160x100x100,21600000,830592,24686.273232929143,0.003041834543915665
27,48,100,100,33.05413573799996,22.1967933177948,678.703125,96.0,34608.0,"(721, 1152)",100x100,10000,48x100x100,480000,830592,25128.232260664685,0.0008171317867256126
30,12,100,100,95.816667274,94.322979927063,521.07421875,96.0,34608.0,"(721, 1152)",100x100,10000,12x100x100,120000,830592,8668.554476277244,0.000627352802278375
40,5136,100,100,69.73660593099999,36.62438321113586,3944.0234375,96.0,34608.0,"(721, 1152)",100x100,10000,5136x100x100,51360000,830592,11910.416185465334,0.0047484486215855675
62,1,100,100,683.190539157,650.1868653297424,1207.91796875,96.0,34608.0,"(721, 1152)",100x100,10000,1x100x100,10000,830592,1215.7545404900968,0.0014542855803451032
52,6,100,100,111.25218138800004,164.66111612319946,466.4765625,96.0,34608.0,"(721, 1152)",100x100,10000,6x100x100,60000,830592,7465.849115382738,0.0005616193781062182
3,1440,100,100,32.780203781000004,19.30871558189392,2231.0,96.0,34608.0,"(721, 1152)",100x100,10000,1440x100x100,14400000,830592,25338.21954094825,0.0026860359839728774
64,1,1152,721,28.279179226,12.404017925262451,1795.78125,1.0,3322368.0,"(721, 1152)",1152x721,830592,1x1152x721,830592,830592,29371.149472271463,0.0021620497789528433
4,6,1152,721,32.144824621,22.05666184425354,2385.72265625,1.0,3322368.0,"(721, 1152)",1152x721,830592,6x1152x721,4983552,830592,25839.05838009705,0.002872315958075686
33,12,1152,721,24.00180679800002,8.874773979187012,2253.06640625,1.0,3322368.0,"(721, 1152)",1152x721,830592,12x1152x721,9967104,830592,34605.39479341239,0.0027126030665477153
2,24,1152,721,31.735331954,19.016401052474976,2791.84375,1.0,3322368.0,"(721, 1152)",1152x721,830592,24x1152x721,19934208,830592,26172.469259308004,0.003361269732913392
1,48,1152,721,32.777282786,17.153406143188477,3340.12890625,1.0,3322368.0,"(721, 1152)",1152x721,830592,48x1152x721,39868416,830592,25340.47759305926,0.004021383430432752
0,120,1152,721,34.318376381,15.488308429718018,6646.83203125,1.0,3322368.0,"(721, 1152)",1152x721,830592,120x1152x721,99671040,830592,24202.54358128225,0.008002523538933676
