,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,array_shape,lon x lat,lonlat_product,time x lon x lat,total_product,num_data_points,norm_cpu_times,norm_peak_memories
83,5136,10,10,81.71478531999998,66.0409848690033,771.421875,8468.0,392.343882853094,"(721, 1152)",10x10,100,5136x10x10,513600,830592,10164.525266111294,0.0009287615038430421
64,48,10,10,43.758686745000006,51.87393021583557,649.1875,8468.0,392.343882853094,"(721, 1152)",10x10,100,48x10x10,4800,830592,18981.1912053075,0.0007815961386577285
65,120,10,10,45.359212132,53.42457842826843,421.234375,8468.0,392.343882853094,"(721, 1152)",10x10,100,120x10x10,12000,830592,18311.4291664258,0.0005071495692229157
73,2160,10,10,59.781395906,58.570613861083984,898.14453125,8468.0,392.343882853094,"(721, 1152)",10x10,100,2160x10x10,216000,830592,13893.820768354408,0.00108133058258447
72,720,10,10,55.691366597000005,57.98083853721619,555.21875,8468.0,392.343882853094,"(721, 1152)",10x10,100,720x10x10,72000,830592,14914.196773270465,0.0006684614708545231
66,1440,10,10,61.145992332000006,61.293691873550415,456.75,8468.0,392.343882853094,"(721, 1152)",10x10,100,1440x10x10,144000,830592,13583.752071439028,0.0005499089805825242
78,6,50,10,84.11922980300001,83.30438041687012,713.60546875,1752.0,1896.328767123288,"(721, 1152)",50x10,500,6x50x10,3000,830592,9873.984842053058,0.0008591528316550123
76,1440,50,10,20.088289307000025,15.580747842788696,547.91796875,1752.0,1896.328767123288,"(721, 1152)",50x10,500,1440x50x10,720000,830592,41347.07477109907,0.000659671618255413
81,5136,50,10,45.28883416400004,27.79657506942749,763.21484375,1752.0,1896.328767123288,"(721, 1152)",50x10,500,5136x50x10,2568000,830592,18339.884771426397,0.0009188805619967445
71,5136,10,50,49.76690835599999,40.03572869300842,735.91796875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,5136x10x50,2568000,830592,16689.644332705717,0.0008860162013961127
70,12,10,50,42.040636351,40.86109828948975,533.1640625,1740.0,1909.406896551724,"(721, 1152)",10x50,500,12x10x50,6000,830592,19756.884578657027,0.000641908497192364
82,2160,10,50,20.142422333000013,15.375150203704834,659.8984375,1740.0,1909.406896551724,"(721, 1152)",10x50,500,2160x10x50,1080000,830592,41235.95396166493,0.0007944916848464709
55,1440,10,50,20.78547504000001,19.06270384788513,666.06640625,1740.0,1909.406896551724,"(721, 1152)",10x50,500,1440x10x50,720000,830592,39960.21252348532,0.0008019176758865966
23,48,50,10,9.744405865,10.646696090698242,313.359375,1752.0,1896.328767123288,"(721, 1152)",50x10,500,48x50x10,24000,830592,85237.82891508286,0.00037727232504045305
77,6,10,50,74.48386140299999,85.02832198143005,713.6640625,1740.0,1909.406896551724,"(721, 1152)",10x50,500,6x10x50,3000,830592,11151.301561905142,0.0008592233762184081
25,120,10,50,10.753488969,11.77248239517212,323.92578125,1740.0,1909.406896551724,"(721, 1152)",10x50,500,120x10x50,60000,830592,77239.30367106141,0.00038999386130615275
24,48,10,50,9.790723485,10.854270935058594,311.2109375,1740.0,1909.406896551724,"(721, 1152)",10x50,500,48x10x50,24000,830592,84834.5887076189,0.00037468569104927567
52,2160,50,10,29.671519812,28.615646362304688,593.0625,1752.0,1896.328767123288,"(721, 1152)",50x10,500,2160x50x10,1080000,830592,27992.903810208103,0.0007140238528663893
57,12,50,10,33.326108234,34.22053503990173,904.375,1752.0,1896.328767123288,"(721, 1152)",50x10,500,12x50x10,6000,830592,24923.162169671297,0.0010888318211588843
27,120,50,10,10.468457282,11.72774624824524,316.0703125,1752.0,1896.328767123288,"(721, 1152)",50x10,500,120x50x10,60000,830592,79342.34984443814,0.0003805361868402296
40,24,10,50,19.613128959,22.173010110855103,355.49609375,1740.0,1909.406896551724,"(721, 1152)",10x50,500,24x10x50,12000,830592,42348.775747933934,0.000428003272063781
39,720,50,10,16.954956143,17.455217361450195,438.5234375,1752.0,1896.328767123288,"(721, 1152)",50x10,500,720x50x10,360000,830592,48988.15384685717,0.0005279649183955541
31,720,10,50,15.381132975,14.249114990234377,435.87890625,1740.0,1909.406896551724,"(721, 1152)",10x50,500,720x10x50,360000,830592,54000.70341697309,0.0005247810071009593
44,24,50,10,18.76611813,21.476537466049194,365.6640625,1752.0,1896.328767123288,"(721, 1152)",50x10,500,24x50x10,12000,830592,44260.192451426294,0.0004402451052983896
68,5136,100,10,57.258642102,46.06700420379639,1173.91796875,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,5136x100x10,5136000,830592,14505.967475099938,0.001413350921691998
67,6,10,100,42.992639568,47.54184985160828,552.16015625,928.0,3580.137931034483,"(721, 1152)",10x100,1000,6x10x100,6000,830592,19319.39997976353,0.000664779044645265
36,720,10,100,10.860452747000004,9.96234369277954,1179.9140625,928.0,3580.137931034483,"(721, 1152)",10x100,1000,720x10x100,720000,830592,76478.57960888743,0.0014205699820128293
69,5136,10,100,44.07464524,37.06279850006104,1456.60546875,928.0,3580.137931034483,"(721, 1152)",10x100,1000,5136x10x100,5136000,830592,18845.12048769017,0.0017536955192802243
28,24,10,100,9.056296749,9.87497353553772,489.98046875,928.0,3580.137931034483,"(721, 1152)",10x100,1000,24x10x100,24000,830592,91714.30917297563,0.0005899171539696987
32,1440,10,100,17.760533407,14.615509033203123,630.80078125,928.0,3580.137931034483,"(721, 1152)",10x100,1000,1440x10x100,1440000,830592,46766.16298430749,0.0007594592546641432
43,12,10,100,21.649923367,21.10470533370972,361.12109375,928.0,3580.137931034483,"(721, 1152)",10x100,1000,12x10x100,12000,830592,38364.662355619876,0.00043477555014977267
56,24,100,10,11.446889989000011,11.521166563034058,324.64453125,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,24x100x10,24000,830592,72560.49466695012,0.00039085920795047386
33,1440,100,10,17.900249145,14.918730974197388,633.77734375,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,1440x100x10,1440000,830592,46401.141865224025,0.0007630429184846471
84,2160,10,100,17.823401177999926,13.949000597000122,942.84765625,928.0,3580.137931034483,"(721, 1152)",10x100,1000,2160x10x100,2160000,830592,46601.206565738416,0.0011351513814845315
45,12,100,10,18.54467925,21.34300661087036,364.62890625,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,12x100x10,12000,830592,44788.69592743158,0.0004389988180117314
53,720,100,10,12.886327162,11.51893186569214,541.44140625,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,720x100x10,720000,830592,64455.29354937543,0.0006518740925147365
17,120,10,100,5.714112817000002,5.9463653564453125,572.0703125,928.0,3580.137931034483,"(721, 1152)",10x100,1000,120x10x100,120000,830592,145357.99810058242,0.0006887500872871398
63,2160,100,10,27.525102248,20.46384620666504,903.58984375,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,2160x100x10,2160000,830592,30175.800711525117,0.0010878865240093812
16,48,10,100,4.753861612,5.2255847454071045,488.15625,928.0,3580.137931034483,"(721, 1152)",10x100,1000,48x10x100,48000,830592,174719.4318621659,0.0005877208665626445
41,120,100,10,6.695256548999993,7.203513860702515,357.6875,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,120x100x10,120000,830592,124056.7846685513,0.0004306416387347819
38,48,100,10,5.453319909000001,6.065610647201538,301.12890625,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,48x100x10,48000,830592,152309.42139103467,0.0003625473231743142
85,6,100,10,26.85281724699996,26.174961805343628,519.98828125,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,6x100x10,6000,830592,30931.2796627622,0.000626045376370107
30,48,50,50,2.846926693999997,2.810610055923462,337.84765625,360.0,9228.8,"(721, 1152)",50x50,2500,48x50x50,120000,830592,291750.3993869963,0.00040675524956898214
58,5136,50,50,47.889434384,31.890130043029785,1283.42578125,360.0,9228.8,"(721, 1152)",50x50,2500,5136x50x50,12840000,830592,17343.95092954999,0.0015451940077077554
35,120,50,50,3.738414906999992,3.278977155685425,403.1484375,360.0,9228.8,"(721, 1152)",50x50,2500,120x50x50,300000,830592,222177.5861327641,0.00048537481398809525
20,12,50,50,9.275737786,9.353867053985596,305.0,360.0,9228.8,"(721, 1152)",50x50,2500,12x50x50,30000,830592,89544.5752308376,0.00036720796732932654
80,6,50,50,11.253536980000035,10.72817873954773,344.6796875,360.0,9228.8,"(721, 1152)",50x50,2500,6x50x50,15000,830592,73807.19514905769,0.0004149807456609262
60,2160,50,50,20.656425779000017,14.938764095306396,1422.3515625,360.0,9228.8,"(721, 1152)",50x50,2500,2160x50x50,5400000,830592,40209.860548304845,0.0017124551675190708
46,24,50,50,5.078564251000003,4.043674945831299,308.01953125,360.0,9228.8,"(721, 1152)",50x50,2500,24x50x50,60000,830592,163548.58557444674,0.00037084336382965405
42,720,50,50,7.757577456000007,6.320762872695923,766.39453125,360.0,9228.8,"(721, 1152)",50x50,2500,720x50x50,1800000,830592,107068.47655869531,0.000922708780303687
29,1440,50,50,17.153812799999997,14.292818069458008,1094.265625,360.0,9228.8,"(721, 1152)",50x50,2500,1440x50x50,3600000,830592,48420.25558306198,0.00131745264221182
47,1440,50,100,13.980790923,10.19310212135315,1786.34375,192.0,17304.0,"(721, 1152)",50x100,5000,1440x50x100,7200000,830592,59409.51442407891,0.002150687401275235
34,12,100,50,4.8649934560000005,5.0799431800842285,301.54296875,180.0,18457.6,"(721, 1152)",100x50,5000,12x100x50,60000,830592,170728.28720368168,0.0003630458380889775
4,120,100,50,2.466037067,2.3178813457489014,537.01953125,180.0,18457.6,"(721, 1152)",100x50,5000,120x100x50,600000,830592,336812.4555444892,0.0006465503294638041
50,12,50,100,4.738537149999999,4.208486557006836,305.3125,192.0,17304.0,"(721, 1152)",50x100,5000,12x50x100,60000,830592,175284.4757163084,0.00036758420500077055
18,6,100,50,8.570343657,8.841480731964111,306.734375,180.0,18457.6,"(721, 1152)",100x50,5000,6x100x50,30000,830592,96914.66681404278,0.0003692960864058407
21,6,50,100,9.439601451,9.823324203491213,309.453125,192.0,17304.0,"(721, 1152)",50x100,5000,6x50x100,30000,830592,87990.15554962968,0.0003725693541474033
5,120,50,100,2.549288428,2.306415557861328,529.85546875,192.0,17304.0,"(721, 1152)",50x100,5000,120x50x100,600000,830592,325813.27043155587,0.0006379250808459508
15,720,50,100,8.841371404,6.91077446937561,1123.7109375,192.0,17304.0,"(721, 1152)",50x100,5000,720x50x100,3600000,830592,93943.79695713549,0.0013529036368036293
2,48,50,100,1.6820359959999998,1.6154310703277588,440.95703125,192.0,17304.0,"(721, 1152)",50x100,5000,48x50x100,240000,830592,493801.56071285415,0.000530894869261924
48,1440,100,50,16.59073743399999,11.522989273071287,2046.97265625,180.0,18457.6,"(721, 1152)",100x50,5000,1440x100x50,7200000,830592,50063.59743225387,0.002464474322230409
9,24,100,50,2.9628113110000003,2.85794734954834,410.5390625,180.0,18457.6,"(721, 1152)",100x50,5000,24x100x50,120000,830592,280339.1484689792,0.0004942728349177454
3,48,100,50,1.914510847,1.6649000644683838,440.515625,180.0,18457.6,"(721, 1152)",100x50,5000,48x100x50,240000,830592,433840.32078038156,0.0005303634335510094
14,720,100,50,8.232003814999999,6.416098833084106,1174.56640625,180.0,18457.6,"(721, 1152)",100x50,5000,720x100x50,3600000,830592,100897.9124240117,0.0014141316148602442
86,2160,100,50,18.45930315600004,10.34738826751709,760.4609375,180.0,18457.6,"(721, 1152)",100x50,5000,2160x100x50,10800000,830592,44995.84805453629,0.0009155649675171444
74,2160,50,100,21.906287204000023,10.779390573501589,789.625,192.0,17304.0,"(721, 1152)",50x100,5000,2160x50x100,10800000,830592,37915.69024295164,0.000950677348204654
75,5136,100,50,60.271522291,35.92850375175476,1433.64453125,180.0,18457.6,"(721, 1152)",100x50,5000,5136x100x50,25680000,830592,13780.836594598964,0.0017260514563708777
79,1,50,100,41.74008054000001,40.16310954093933,565.10546875,192.0,17304.0,"(721, 1152)",50x100,5000,1x50x100,5000,830592,19899.14703695969,0.0006803646901848321
10,24,50,100,3.107097423,3.125161409378052,409.7421875,192.0,17304.0,"(721, 1152)",50x100,5000,24x50x100,120000,830592,267320.8744121185,0.0004933134288555633
61,1,100,50,39.467724693,41.84648442268372,512.96484375,180.0,18457.6,"(721, 1152)",100x50,5000,1x100x50,5000,830592,21044.84123320425,0.0006175894347044036
62,5136,50,100,57.59245452,36.20028972625733,1519.43359375,192.0,17304.0,"(721, 1152)",50x100,5000,5136x50x100,25680000,830592,14421.889237444504,0.0018293381031240369
8,48,100,100,1.2076154640000016,0.95072340965271,613.4375,96.0,34608.0,"(721, 1152)",100x100,10000,48x100x100,480000,830592,687795.100974294,0.0007385545490445369
49,1,100,100,25.66987586,23.26796793937683,385.7109375,96.0,34608.0,"(721, 1152)",100x100,10000,1x100x100,10000,830592,32356.68160336791,0.00046438075192152106
26,720,100,100,7.575990017000002,4.961761951446533,2129.24609375,96.0,34608.0,"(721, 1152)",100x100,10000,720x100x100,7200000,830592,109634.78015892424,0.0025635282951798235
59,5136,100,100,53.368023274,34.62643885612488,2140.16796875,96.0,34608.0,"(721, 1152)",100x100,10000,5136x100x100,51360000,830592,15563.476948276822,0.0025766778017967907
7,12,100,100,3.175334005,2.8346948623657227,413.609375,96.0,34608.0,"(721, 1152)",100x100,10000,12x100x100,120000,830592,261576.26211671552,0.0004979693700396825
22,1440,100,100,16.202699218000003,10.45422911643982,896.63671875,96.0,34608.0,"(721, 1152)",100x100,10000,1440x100x100,14400000,830592,51262.56982400029,0.0010795152358197527
12,24,100,100,1.7795471340000013,1.454535722732544,438.921875,96.0,34608.0,"(721, 1152)",100x100,10000,24x100x100,240000,830592,466743.4675545938,0.000528444621426645
11,120,100,100,1.7832186290000005,1.5562646389007568,739.1953125,96.0,34608.0,"(721, 1152)",100x100,10000,120x100x100,1200000,830592,465782.4825808276,0.0008899619939753814
54,2160,100,100,26.642389078,17.313633680343628,1112.59375,96.0,34608.0,"(721, 1152)",100x100,10000,2160x100x100,21600000,830592,31175.58254885868,0.0013395189816420095
37,6,100,100,5.009842454000001,5.494199275970459,304.52734375,96.0,34608.0,"(721, 1152)",100x100,10000,6x100x100,60000,830592,165792.03989475392,0.00036663890785126755
1,24,1152,721,1.001334115,1.042900562286377,518.9921875,1.0,3322368.0,"(721, 1152)",1152x721,830592,24x1152x721,19934208,830592,829485.3711241029,0.0006248461187923794
51,1,1152,721,1.4759450009999853,0.5928900241851807,1045.8359375,1.0,3322368.0,"(721, 1152)",1152x721,830592,1x1152x721,830592,830592,562752.6767171241,0.0012591452090797888
13,12,1152,721,1.022314413,1.9430913925170896,867.12890625,1.0,3322368.0,"(721, 1152)",1152x721,830592,12x1152x721,9967104,830592,812462.3789296024,0.0010439889936936547
19,120,1152,721,3.037171855,5.906812906265259,1078.7109375,1.0,3322368.0,"(721, 1152)",1152x721,830592,120x1152x721,99671040,830592,273475.4698298098,0.0012987254121156959
6,48,1152,721,1.023013396,2.2731971740722656,525.96484375,1.0,3322368.0,"(721, 1152)",1152x721,830592,48x1152x721,39868416,830592,811907.256784348,0.0006332409218364732
0,6,1152,721,1.131015476,0.7233660221099854,692.54296875,1.0,3322368.0,"(721, 1152)",1152x721,830592,6x1152x721,4983552,830592,734377.2190788308,0.0008337944125996879
