,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,array_shape,lon x lat,lonlat_product,time x lon x lat,total_product,num_data_points,norm_cpu_times,norm_peak_memories,norm_wall_times
86,5136,10,10,125.18070577,91.32881236076356,411.98828125,8468.0,392.3438828530941,"(721, 1152)",10x10,100,5136x10x10,513600,830592,6635.143929657043,0.0004960176371190669,9094.523168866222
84,2160,10,10,68.578078848,67.69637393951416,823.734375,8468.0,392.3438828530941,"(721, 1152)",10x10,100,2160x10x10,216000,830592,12111.625375813852,0.0009917436900427647,12269.372075114736
83,1440,10,10,69.965184169,83.38010358810425,426.25,8468.0,392.3438828530941,"(721, 1152)",10x10,100,1440x10x10,144000,830592,11871.504518500455,0.0005131881838495916,9961.513169893684
82,720,10,10,64.542640757,75.7477889060974,510.3984375,8468.0,392.3438828530941,"(721, 1152)",10x10,100,720x10x10,72000,830592,12868.887765642248,0.0006144995828276699,10965.230959146065
78,120,10,10,48.89300055100001,60.68380928039551,437.3203125,8468.0,392.3438828530941,"(721, 1152)",10x10,100,120x10x10,12000,830592,16987.95309430057,0.0005265164033604947,13687.209320729487
75,48,10,10,48.382831474,60.71056270599365,553.4921875,8468.0,392.3438828530941,"(721, 1152)",10x10,100,48x10x10,4800,830592,17167.081270271337,0.0006663827577197951,13681.17775521787
42,6,50,10,9.066137141,10.972779512405396,673.22265625,1752.0,1896.328767123288,"(721, 1152)",50x10,500,6x50x10,3000,830592,91614.76239354406,0.0008105335185626637,75695.67939107545
44,12,50,10,9.054813961,11.270627975463867,505.5234375,1752.0,1896.328767123288,"(721, 1152)",50x10,500,12x50x10,6000,830592,91729.32802125408,0.0006086302751531437,73695.27250905601
85,1440,50,10,16.297355428000007,13.92660927772522,522.8359375,1752.0,1896.328767123288,"(721, 1152)",50x10,500,1440x50x10,720000,830592,50964.833139307026,0.0006294738421511403,59640.64787316768
35,48,10,50,8.153430214,8.783853054046629,293.40625,1740.0,1909.406896551724,"(721, 1152)",10x50,500,48x10x50,24000,830592,101870.25315723148,0.0003532495497187548,94558.95890896706
38,24,10,50,8.274957729999999,10.714772462844847,339.63671875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,24x10x50,12000,830592,100374.1683161444,0.00040890921023799894,77518.39834958773
36,120,10,50,7.973086681999999,9.485140323638916,304.93359375,1740.0,1909.406896551724,"(721, 1152)",10x50,500,120x10x50,60000,830592,104174.4600463382,0.0003671280168241447,87567.70818982976
52,720,10,50,16.2435629,16.016996383666992,435.8203125,1740.0,1909.406896551724,"(721, 1152)",10x50,500,720x10x50,360000,830592,51133.60936349746,0.0005247104625375635,51856.91374988255
55,720,50,10,16.057140905,19.07614088058472,438.7578125,1752.0,1896.328767123288,"(721, 1152)",50x10,500,720x50x10,360000,830592,51727.266075205436,0.000528247096649137,43540.88204734105
47,12,10,50,7.478136826,11.257337808609009,500.18359375,1740.0,1909.406896551724,"(721, 1152)",10x50,500,12x10x50,6000,830592,111069.37721601939,0.0006022013139423447,73782.27553630022
34,24,50,10,7.066630804,8.206387042999268,344.765625,1752.0,1896.328767123288,"(721, 1152)",50x10,500,24x50x10,12000,830592,117537.20026378783,0.0004150842110205733,101212.87183359993
33,48,50,10,7.057597567,8.069562673568727,294.78515625,1752.0,1896.328767123288,"(721, 1152)",50x10,500,48x50x10,24000,830592,117687.63975487808,0.0003549096984440014,102928.99796423224
49,6,10,50,10.959940523,11.258341073989868,671.70703125,1740.0,1909.406896551724,"(721, 1152)",10x50,500,6x10x50,3000,830592,75784.3528673317,0.0008087087658561604,73775.70057092299
81,5136,50,10,62.791018741,43.06001591682434,707.53515625,1752.0,1896.328767123288,"(721, 1152)",50x10,500,5136x50x10,2568000,830592,13227.87902878309,0.000851844414887213,19289.17076120895
43,120,50,10,9.773815317,12.055192470550535,308.046875,1752.0,1896.328767123288,"(721, 1152)",50x10,500,120x50x10,60000,830592,84981.34792411281,0.0003708762846259054,68899.10733727743
69,2160,10,50,36.372970126,33.177502632141106,463.4296875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,2160x10x50,1080000,830592,22835.418639795906,0.0005579510608096394,25034.795693011383
