,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,array_shape,lon x lat,lonlat_product,time x lon x lat,total_product,num_data_points,norm_cpu_times,norm_peak_memories,norm_wall_times
77,12,10,50,377.61824260900016,528.6535904407501,1057.55078125,1740.0,1909.406896551724,"(721, 1152)",10x50,500,12x10x50,6000,830592,2199.5547520727846,0.0012732494187880452,1571.1460491690166
22,2160,50,10,37.144487418,41.27974963188171,782.234375,1752.0,1896.328767123288,"(721, 1152)",50x10,500,2160x50x10,1080000,830592,22361.11083329959,0.0009417793272750039,20121.052269137468
14,1440,10,100,26.161511129,24.21707463264465,936.18359375,928.0,3580.1379310344832,"(721, 1152)",10x100,1000,1440x10x100,1440000,830592,31748.624760413393,0.0011271281131409886,34297.78421215091
82,2160,10,100,20.450000254999395,13.203319311141968,1264.2890625,928.0,3580.1379310344832,"(721, 1152)",10x100,1000,2160x10x100,2160000,830592,40615.74521481709,0.0015221541533027045,62907.81737733807
50,24,10,100,137.737814846,166.96183013916016,697.21484375,928.0,3580.1379310344832,"(721, 1152)",10x100,1000,24x10x100,24000,830592,6030.239414852464,0.0008394191657877754,4974.741827564505
13,1440,100,10,26.428989458,23.69260835647583,933.43359375,876.0,3792.657534246575,"(721, 1152)",100x10,1000,1440x100x10,1440000,830592,31427.30830930736,0.0011238172216322816,35057.009659005176
85,6,100,10,357.6105449569996,501.6251583099365,1186.0859375,876.0,3792.657534246575,"(721, 1152)",100x10,1000,6x100x10,6000,830592,2322.616074142538,0.001428000676023848,1655.8021188538683
15,720,10,100,16.573659206000002,16.67958927154541,1785.93359375,928.0,3580.1379310344832,"(721, 1152)",10x100,1000,720x10x100,720000,830592,50115.18516679218,0.0021501935893314646,49796.909652742506
66,5136,10,100,39.46660511799996,26.728105545043945,1866.29296875,928.0,3580.1379310344832,"(721, 1152)",10x100,1000,5136x10x100,5136000,830592,21045.438225979637,0.002246943106543285,31075.603117483664
75,6,10,100,445.488940837,540.421667098999,1219.625,928.0,3580.1379310344832,"(721, 1152)",10x100,1000,6x10x100,6000,830592,1864.4503238160191,0.0014683803841115735,1536.9331959960907
60,12,100,10,271.765566277,264.8153645992279,688.09375,876.0,3792.657534246575,"(721, 1152)",100x10,1000,12x100x10,12000,830592,3056.281233044109,0.0008284377287525042,3136.4947470363722
61,12,10,100,282.5739712,275.7500803470612,704.37109375,928.0,3580.1379310344832,"(721, 1152)",10x100,1000,12x10x100,12000,830592,2939.3790109992974,0.0008480350084638426,3012.1187959568692
46,48,10,100,76.53216907800001,77.82077527046205,612.62890625,928.0,3580.1379310344832,"(721, 1152)",10x100,1000,48x10x100,48000,830592,10852.848024645398,0.0007375810340696756,10673.139622592049
69,24,100,10,107.7006613179999,130.29398727416992,533.90234375,876.0,3792.657534246575,"(721, 1152)",100x10,1000,24x100x10,24000,830592,7712.04178168945,0.0006427973586911504,6374.75310546936
56,48,100,10,62.68098785399991,97.40922713279724,407.36328125,876.0,3792.657534246575,"(721, 1152)",100x10,1000,48x100x10,48000,830592,13251.099391328384,0.000490449319581696,8526.830819298673
21,720,100,10,15.072504714000006,13.304091215133669,723.09765625,876.0,3792.657534246575,"(721, 1152)",100x10,1000,720x100x10,720000,830592,55106.434913137535,0.0008705810509251233,62431.32180687284
42,120,100,10,37.90876770300002,31.65574431419373,412.21875,876.0,3792.657534246575,"(721, 1152)",100x10,1000,120x100x10,120000,830592,21910.28752259517,0.0004962951124017569,26238.27106246815
31,120,10,100,39.023515698,39.240936517715454,701.03125,928.0,3580.1379310344832,"(721, 1152)",10x100,1000,120x10x100,120000,830592,21284.39698841816,0.0008440139683502851,21166.467309592023
55,5136,100,10,47.028984479000094,31.51338648796081,1956.12109375,876.0,3792.657534246575,"(721, 1152)",100x10,1000,5136x100x10,5136000,830592,17661.278660416006,0.0023550926251998576,26356.79920713423
30,2160,100,10,24.526349788,16.41523027420044,1073.19921875,876.0,3792.657534246575,"(721, 1152)",100x10,1000,2160x100x10,2160000,830592,33865.29211152258,0.0012920895201856027,50598.863745787865
81,6,50,50,158.2255418149998,201.4138743877411,634.47265625,360.0,9228.8,"(721, 1152)",50x50,2500,6x50x50,15000,830592,5249.417954094563,0.0007638800473036099,4123.807272586547
44,12,50,50,122.673458116,122.2329032421112,429.4765625,360.0,9228.8,"(721, 1152)",50x50,2500,12x50x50,30000,830592,6770.7555713852325,0.0005170728378072507,6795.1588972309355
11,1440,50,50,25.724839529,22.059221029281613,1548.49609375,360.0,9228.8,"(721, 1152)",50x50,2500,1440x50x50,3600000,830592,32287.548346556683,0.001864328206568327,37652.825496306716
18,720,50,50,13.892257197999994,9.775818109512327,861.125,360.0,9228.8,"(721, 1152)",50x50,2500,720x50x50,1800000,830592,59788.1242883681,0.001036760527431037,84963.93761579864
