,time_chunks,lon_chunks,lat_chunks,runtime_hr
0,024,010,050,6.049722222222222
1,120,010,050,1.7175
2,720,010,050,0.6372222222222222
3,1440,010,050,0.49583333333333335
4,2160,010,050,0.4688888888888889
5,012,050,010,19.056944444444444
6,024,050,010,7.0725
7,048,050,010,3.1344444444444446
8,120,050,010,1.5555555555555556
9,720,050,010,0.5666666666666667
10,2160,050,010,0.41
11,999,050,010,0.35055555555555556
12,048,010,010,24.224722222222223
13,120,010,010,6.604722222222223
14,720,010,010,1.5038888888888888
15,1440,010,010,0.9669444444444445
16,2160,010,010,0.8141666666666667
17,0999,0010,0010,0.6166666666666667
18,0006,0050,0010,46.51555555555556
19,1440,0050,0010,0.5575
20,1440,0010,0050,0.5547222222222222
21,0006,0010,0100,19.95277777777778
22,0024,0010,0100,4.435833333333333
23,0048,0010,0100,2.6633333333333336
24,0120,0010,0100,1.515
25,0048,0100,0010,2.4255555555555555
26,0999,0050,0050,0.41444444444444445
27,0048,0050,0100,0.8705555555555555
28,0001,0100,0050,24.071666666666665
29,0006,0100,0050,4.178333333333334
30,0001,0100,0100,12.516666666666667
31,0999,0050,0010,0.3502777777777778
32,0999,0010,0050,0.2902777777777778
33,0048,0010,0050,2.374722222222222
34,0048,0100,0010,1.4744444444444444
35,0048,0010,0100,1.4986111111111111
36,0048,0050,0100,0.5466666666666666
37,0048,0100,0050,0.5183333333333333
38,0006,0100,0050,2.036388888888889
39,0006,0050,0100,2.108611111111111
40,0048,0050,0100,0.48777777777777775
41,0006,0100,0050,1.863888888888889
42,0048,0100,0010,1.2786111111111111
43,0001,0050,0100,17.969166666666666
44,0001,0100,0050,14.977222222222222
45,0001,0100,0050,9.905833333333334
46,006,100,100,1.7527777777777778
47,012,100,100,0.9852777777777778
48,024,100,100,0.5769444444444445
49,048,100,100,0.37416666666666665
50,120,100,100,0.18611111111111112
51,720,100,100,0.1225
52,1440,100,100,0.1175
53,2160,100,100,0.11611111111111111
54,999,100,100,0.1111111111111111
55,012,100,050,1.5641666666666667
56,024,100,050,0.8355555555555556
57,048,100,050,0.45944444444444443
58,120,100,050,0.2538888888888889
59,720,100,050,0.12777777777777777
60,1440,100,050,0.12694444444444444
61,2160,100,050,0.12361111111111112
62,999,100,050,0.11861111111111111
63,120,100,010,0.83
64,720,100,010,0.4011111111111111
65,1440,100,010,0.3497222222222222
66,2160,100,010,0.33305555555555555
67,999,100,010,0.2991666666666667
68,006,100,010,13.142222222222221
69,012,100,010,4.512222222222222
70,024,100,010,2.3275
71,048,100,010,1.4130555555555555
72,001,999,999,0.3338888888888889
73,006,999,999,0.3030555555555556
74,012,999,999,0.2436111111111111
75,024,999,999,0.2722222222222222
76,048,999,999,0.2941666666666667
77,120,999,999,0.25916666666666666
78,006,050,100,2.326388888888889
79,012,050,100,1.3508333333333333
80,024,050,100,0.8522222222222222
81,048,050,100,0.5797222222222222
82,120,050,100,0.43194444444444446
83,720,050,100,0.33
84,1440,050,100,0.30944444444444447
85,2160,050,100,0.3327777777777778
86,999,050,100,0.3327777777777778
87,006,050,050,5.441388888888889
88,012,050,050,3.0566666666666666
89,024,050,050,1.5458333333333334
90,048,050,050,0.9858333333333333
91,120,050,050,0.5866666666666667
92,720,050,050,0.35138888888888886
93,1440,050,050,0.3433333333333333
94,2160,050,050,0.32416666666666666
95,012,010,100,6.798611111111111
96,720,010,100,0.5225
97,1440,010,100,0.44805555555555554
98,2160,010,100,0.4230555555555556
99,999,010,100,0.4011111111111111
100,006,010,050,44.090555555555554
101,012,010,050,14.790277777777778
