,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,lonlat_product,total_product,num_data_points,norm_cpu_times,norm_peak_memories,norm_wall_times,lon x lat,time x lon x lat
22,1440,10,10,85.92345885325,88.8409031033516,480.1455078125,8468.0,392.3438828530941,100,144000,830592.0,11802.25665116562,0.0005780762490037,11061.454303990313,10x10,1440x10x10
53,48,10,10,653.2340326006249,756.8756338655949,1973.28076171875,8468.0,392.3438828530941,100,4800,830592.0,10260.600790760269,0.0023757521884616,8078.333161430087,10x10,48x10x10
3,120,10,10,312.45137290312493,322.7906804680824,1268.1875,8468.0,392.3438828530941,100,12000,830592.0,10178.49289990491,0.0015268477182539,8402.24639946189,10x10,120x10x10
35,2160,10,10,82.81825884162501,77.95728102326393,1480.39697265625,8468.0,392.3438828530941,100,216000,830592.0,10934.143671815142,0.0017823395513757,11736.085298995022,10x10,2160x10x10
81,720,10,10,99.190787025125,107.6100010573864,1243.8125,8468.0,392.3438828530941,100,72000,830592.0,12442.29644708776,0.0014975011798813,12206.403065569204,10x10,720x10x10
63,5136,10,10,90.42564920012498,70.98997840285301,1249.412109375,8468.0,392.3438828530941,100,513600,830592.0,9720.46312543086,0.0015042428886565,11978.97913053858,10x10,5136x10x10
73,6,10,50,1055.3809612948753,1205.4859816432,2018.8310546875,1740.0,1909.406896551724,500,3000,830592.0,20920.69826973665,0.0024305929441741,18966.493194572413,10x50,6x10x50
75,6,50,10,1066.4419661775,1209.645585268736,2102.85791015625,1752.0,1896.328767123288,500,3000,830592.0,20526.40973696753,0.0025317579631831,18576.959371728342,50x10,6x50x10
5,120,10,50,88.83553422975001,95.65785145759584,405.65185546875,1740.0,1909.406896551724,500,60000,830592.0,46097.34199441775,0.0004883888304591,42008.091110229536,10x50,120x10x50
83,720,10,50,37.95874149400001,39.58540630340576,499.51416015625,1740.0,1909.406896551724,500,360000,830592.0,39167.22122681682,0.0006013953423055,39366.45713374782,10x50,720x10x50
14,12,10,50,443.7215172035,610.3063760399818,1186.2392578125,1740.0,1909.406896551724,500,6000,830592.0,31131.958282509742,0.0014281852676314,26932.549457241425,10x50,12x10x50
84,720,50,10,38.29573419475,39.80500596761704,498.33154296875,1752.0,1896.328767123288,500,360000,830592.0,38078.02289681553,0.0005999715178676,36875.46178961499,50x10,720x50x10
45,24,10,50,315.536846149125,307.54104498028755,702.09326171875,1740.0,1909.406896551724,500,12000,830592.0,39734.38973918636,0.0008452925885618,36242.61672112599,10x50,24x10x50
16,12,50,10,550.58631670675,609.0268496572971,2036.45556640625,1752.0,1896.328767123288,500,6000,830592.0,31395.42058768683,0.0024518121609722,27806.42140022447,50x10,12x50x10
