,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,array_shape,lon x lat,lonlat_product,time x lon x lat,total_product,num_data_points,norm_cpu_times,norm_peak_memories,norm_wall_times
66,120,10,10,93.565053599,95.89248847961426,736.92578125,8468.0,392.3438828530941,"(721, 1152)",10x10,100,120x10x10,12000,830592,8877.160521488518,0.0008872295678865195,8661.700339297955
52,720,10,10,56.832576513,60.92843055725098,738.421875,8468.0,392.3438828530941,"(721, 1152)",10x10,100,720x10x10,72000,830592,14614.716610815783,0.0008890308057385575,13632.256606700874
77,5136,10,10,66.11606906499992,63.90672039985657,1663.9453125,8468.0,392.3438828530941,"(721, 1152)",10x10,100,5136x10x10,513600,830592,12562.634345115554,0.0020033245113124133,12996.94296316705
59,2160,10,10,75.38133676500001,72.36744046211244,1343.57421875,8468.0,392.3438828530941,"(721, 1152)",10x10,100,2160x10x10,216000,830592,11018.536359859947,0.001617610353518936,11477.426791608745
73,48,10,10,157.194647536,177.86811876296997,1055.16015625,8468.0,392.3438828530941,"(721, 1152)",10x10,100,48x10x10,4800,830592,5283.844030438642,0.0012703712006014987,4669.707004136367
49,1440,10,10,61.199439632,63.4783136844635,471.140625,8468.0,392.3438828530941,"(721, 1152)",10x10,100,1440x10x10,144000,830592,13571.888974710473,0.0005672347253525196,13084.65760651247
79,6,10,50,250.927615125,248.57545709609985,870.79296875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,6x10x50,3000,830592,3310.0860564359937,0.0010484003803913353,3341.407915741622
76,12,10,50,113.603583092,122.26624917984007,595.11328125,1740.0,1909.406896551724,"(721, 1152)",10x50,500,12x10x50,6000,830592,7311.318687257943,0.0007164929125852404,6793.305638895419
78,5136,50,10,42.54770973899997,31.01149892807007,1149.1875,1752.0,1896.328767123288,"(721, 1152)",50x10,500,5136x50x10,2568000,830592,19521.42677232436,0.0013835764129681,26783.355487799057
71,12,50,10,135.630543686,141.81552910804746,1856.3203125,1752.0,1896.328767123288,"(721, 1152)",50x10,500,12x50x10,6000,830592,6123.930328871305,0.0022349364218533286,5856.848013923654
80,6,50,10,261.983777235,237.3305776119232,897.77734375,1752.0,1896.328767123288,"(721, 1152)",50x10,500,6x50x10,3000,830592,3170.3947807995655,0.0010808885033205232,3499.7260292273104
54,24,10,50,67.133199753,73.32798933982848,404.8046875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,24x10x50,12000,830592,12372.298699539986,0.00048736887364674833,11327.07997966146
84,2160,10,50,22.450708701999933,16.91232657432556,738.1953125,1740.0,1909.406896551724,"(721, 1152)",10x50,500,2160x10x50,1080000,830592,36996.24858283471,0.0008887580334267607,49111.63442532582
50,24,50,10,64.00210542399999,63.31251978874207,422.3203125,1752.0,1896.328767123288,"(721, 1152)",50x10,500,24x50x10,12000,830592,12977.573073534208,0.0005084569951311835,13118.921862081565
57,1440,50,10,20.01386970100004,15.537042140960692,572.20703125,1752.0,1896.328767123288,"(721, 1152)",50x10,500,1440x50x10,720000,830592,41500.81980190455,0.0006889146912683965,53458.82391670224
33,2160,50,10,33.601605564,29.786025285720825,581.39453125,1752.0,1896.328767123288,"(721, 1152)",50x10,500,2160x50x10,1080000,830592,24718.818820070832,0.0006999760788088496,27885.29157658974
41,48,50,10,40.566916205,41.9060173034668,343.75,1752.0,1896.328767123288,"(721, 1152)",50x10,500,48x50x10,24000,830592,20474.61522100186,0.00041386143858838036,19820.351668954398
40,1440,10,50,23.671838833000013,22.359266996383667,694.92578125,1740.0,1909.406896551724,"(721, 1152)",10x50,500,1440x10x50,720000,830592,35087.76846022216,0.0008366632248444483,37147.55050486843
39,48,10,50,37.574991146,37.359210729599,346.00390625,1740.0,1909.406896551724,"(721, 1152)",10x50,500,48x10x50,24000,830592,22104.915388341207,0.00041657505279367007,22232.589601844495
23,720,10,50,18.984660327,18.340817928314213,462.19921875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,720x10x50,360000,830592,43750.69059406511,0.0005564696249783287,45286.529927203934
25,720,50,10,19.722044423,18.872978687286373,457.25,1752.0,1896.328767123288,"(721, 1152)",50x10,500,720x50x10,360000,830592,42114.903616754724,0.0005505109608568347,44009.58713313874
26,120,10,50,22.915319614,22.477902173995968,358.34765625,1740.0,1909.406896551724,"(721, 1152)",10x50,500,120x10x50,60000,830592,36246.14511126233,0.00043143644081570734,36951.49100528108
70,5136,10,50,45.45015133499993,30.372730255126964,1087.08984375,1740.0,1909.406896551724,"(721, 1152)",10x50,500,5136x10x50,2568000,830592,18274.79063552388,0.0013088132846812875,27346.636045661216
27,120,50,10,23.964833617,24.74017930030823,352.15234375,1752.0,1896.328767123288,"(721, 1152)",50x10,500,120x50x10,60000,830592,34658.784336845994,0.0004239775289793304,33572.59419658498
20,1440,10,100,21.335215909,16.487417221069336,667.328125,928.0,3580.1379310344832,"(721, 1152)",10x100,1000,1440x10x100,1440000,830592,38930.564543742206,0.0008034367354850516,50377.326470430016
24,1440,100,10,21.718909981,18.070107460021973,674.0703125,876.0,3792.657534246575,"(721, 1152)",100x10,1000,1440x100x10,1440000,830592,38242.80319438744,0.0008115540632464555,45964.97291660213
82,2160,10,100,17.90519991300016,12.744362592697144,1003.890625,928.0,3580.1379310344832,"(721, 1152)",10x100,1000,2160x10x100,2160000,830592,46388.31200074703,0.0012086447076302203,65173.28693048573
21,720,10,100,11.618765260999991,10.94323992729187,1402.578125,928.0,3580.1379310344832,"(721, 1152)",10x100,1000,720x10x100,720000,830592,71487.11427951799,0.0016886487288584528,75900.00818025993
55,12,100,10,69.358752653,73.81079030036926,413.3828125,876.0,3792.657534246575,"(721, 1152)",100x10,1000,12x100x10,12000,830592,11975.301865006566,0.0004976965977278857,11252.988846480956
68,5136,10,100,39.11712898300004,33.346346378326416,1616.8984375,928.0,3580.1379310344832,"(721, 1152)",10x100,1000,5136x10x100,5136000,830592,21233.460164240783,0.0019466819298765217,24908.03611815915
22,120,10,100,12.141771877,12.60886287689209,679.23828125,928.0,3580.1379310344832,"(721, 1152)",10x100,1000,120x10x100,120000,830592,68407.80805422473,0.0008177760937379604,65873.66427167693
74,6,10,100,131.37913529,131.05256509780884,637.0390625,928.0,3580.1379310344832,"(721, 1152)",10x100,1000,6x10x100,6000,830592,6322.099762390665,0.0007669698991803436,6337.853817512858
56,12,10,100,72.273314225,79.02557706832886,414.13671875,928.0,3580.1379310344832,"(721, 1152)",10x100,1000,12x10x100,12000,830592,11492.374590906622,0.0004986042711102442,10510.41992748544
38,120,100,10,11.784583467000004,13.69403338432312,375.29296875,876.0,3792.657534246575,"(721, 1152)",100x10,1000,120x100x10,120000,830592,70481.2352787759,0.0004518379285497573,60653.56909023303
85,6,100,10,85.47523158900003,114.53475046157835,601.40625,876.0,3792.657534246575,"(721, 1152)",100x10,1000,6x100x10,6000,830592,9717.341322850425,0.0007240693986939436,7251.877676012653
43,24,10,100,38.287473133,39.73205304145814,549.796875,928.0,3580.1379310344832,"(721, 1152)",10x100,1000,24x10x100,24000,830592,21693.57056065714,0.00066193374725497,20904.83467172775
