,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,array_shape,lon x lat,lonlat_product,time x lon x lat,total_product,num_data_points,norm_cpu_times,norm_peak_memories
86,5136,10,10,128.100875136,82.03846144676208,509.59765625,8468.0,392.343882853094,"(721, 1152)",10x10,100,5136x10x10,513600,830592,6483.8901304787405,0.0006135354737945947
83,120,10,10,57.36478599899999,80.66926503181458,450.12890625,8468.0,392.343882853094,"(721, 1152)",10x10,100,120x10x10,12000,830592,14479.126619847919,0.0005419374449188049
82,48,10,10,43.995074954,75.64303708076477,551.5859375,8468.0,392.343882853094,"(721, 1152)",10x10,100,48x10x10,4800,830592,18879.204112470394,0.0006640877079239867
81,720,10,10,53.596047294,48.44686794281006,536.97265625,8468.0,392.343882853094,"(721, 1152)",10x10,100,720x10x10,72000,830592,15497.262241071714,0.0006464938938130875
76,1440,10,10,52.522630242,56.16265249252319,447.953125,8468.0,392.343882853094,"(721, 1152)",10x10,100,1440x10x10,144000,830592,15813.983347235584,0.0005393178901313761
85,2160,10,10,95.53648804,77.99070954322815,675.44921875,8468.0,392.343882853094,"(721, 1152)",10x10,100,2160x10x10,216000,830592,8693.976689327757,0.0008132142119717022
43,12,10,50,7.743207873000003,8.857891321182251,506.046875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,12x10x50,6000,830592,107267.17061235219,0.0006092604732528124
49,6,10,50,16.859098812000003,17.57370090484619,677.4296875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,6x10x50,3000,830592,49266.690305462806,0.0008155986182144784
84,1440,50,10,17.04340952900003,13.43680500984192,533.45703125,1752.0,1896.328767123288,"(721, 1152)",50x10,500,1440x50x10,720000,830592,48733.91081677144,0.0006422612200093428
78,5136,50,10,53.422468991,43.18174839019776,717.7109375,1752.0,1896.328767123288,"(721, 1152)",50x10,500,5136x50x10,2568000,830592,15547.615370227993,0.0008640956540636077
74,1440,10,50,32.56240889899999,31.801138162612915,654.13671875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,1440x10x50,720000,830592,25507.69516396276,0.0007875548027792225
73,5136,10,50,61.10733102999999,43.619160175323486,727.0703125,1740.0,1909.406896551724,"(721, 1152)",10x50,500,5136x10x50,2568000,830592,13592.346220983367,0.000875363972323355
69,2160,10,50,26.796996049,23.249183177948,472.265625,1740.0,1909.406896551724,"(721, 1152)",10x50,500,2160x10x50,1080000,830592,30995.71304489541,0.0005685891809697179
66,2160,50,10,36.802304644,47.5897114276886,565.61328125,1752.0,1896.328767123288,"(721, 1152)",50x10,500,2160x50x10,1080000,830592,22569.021370660656,0.0006809760764009285
25,48,10,50,8.456802249999999,8.861342430114746,303.09765625,1740.0,1909.406896551724,"(721, 1152)",10x50,500,48x10x50,24000,830592,98215.84748537783,0.00036491762050441134
51,720,50,10,17.221748269,19.4841992855072,426.62109375,1752.0,1896.328767123288,"(721, 1152)",50x10,500,720x50x10,360000,830592,48229.24984306656,0.0005136349660844313
26,24,50,10,8.735181086,8.65201473236084,349.31640625,1752.0,1896.328767123288,"(721, 1152)",50x10,500,24x50x10,12000,830592,95085.83643803351,0.0004205631721109763
29,120,10,50,9.460248934,9.764395236968994,310.76171875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,120x10x50,60000,830592,87798.11248040885,0.00037414484939657497
30,120,50,10,9.956762262,9.72400164604187,309.359375,1752.0,1896.328767123288,"(721, 1152)",50x10,500,120x50x10,60000,830592,83419.88872928661,0.0003724564828459701
27,48,50,10,8.544939175,8.739111423492432,301.7109375,1752.0,1896.328767123288,"(721, 1152)",50x10,500,48x50x10,24000,830592,97202.7984037698,0.0003632480658373786
37,12,50,10,9.653524955,10.823187112808228,590.42578125,1752.0,1896.328767123288,"(721, 1152)",50x10,500,12x50x10,6000,830592,86040.28102395889,0.0007108493475135807
46,720,10,50,15.774318744,18.697413206100464,424.91796875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,720x10x50,360000,830592,52654.69865796443,0.0005115844707750617
47,6,50,10,17.490133982,17.219764471054077,679.984375,1752.0,1896.328767123288,"(721, 1152)",50x10,500,6x50x10,3000,830592,47489.17308779939,0.0008186743611785329
32,24,10,50,9.605901191,10.004666328430176,346.57421875,1740.0,1909.406896551724,"(721, 1152)",10x50,500,24x10x50,12000,830592,86466.84818892388,0.0004172616865440553
62,720,10,100,16.67824280699999,17.576920747756958,997.40234375,928.0,3580.137931034483,"(721, 1152)",10x100,1000,720x10x100,720000,830592,49800.92984684178,0.0012008330729768647
80,2160,100,10,29.253699588000018,20.830422401428223,893.43359375,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,2160x100x10,2160000,830592,28392.71653492716,0.0010756587996874518
41,24,100,10,4.402948583000004,4.194814443588257,305.8125,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,24x100x10,24000,830592,188644.49228568227,0.0003681861852750809
36,6,10,100,8.374916082999999,9.892827033996582,531.953125,928.0,3580.137931034483,"(721, 1152)",10x100,1000,6x10x100,6000,830592,99176.15791828587,0.0006404505762155185
18,12,100,10,4.567683566,5.084199666976929,341.89453125,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,12x100x10,12000,830592,181840.967746232,0.0004116275274141817
75,5136,100,10,72.765097472,51.31795692443848,1180.734375,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,5136x100x10,5136000,830592,11414.703324208585,0.0014215576059003697
79,5136,10,100,69.15503340200002,53.735304832458496,1176.1875,928.0,3580.137931034483,"(721, 1152)",10x100,1000,5136x10x100,5136000,830592,12010.579116804804,0.00141608334778086
17,12,10,100,4.71985389,4.427067995071411,345.91796875,928.0,3580.137931034483,"(721, 1152)",10x100,1000,12x10x100,12000,830592,175978.3288545824,0.00041647158743402294
28,120,10,100,6.318324895,6.418106317520142,472.21484375,928.0,3580.137931034483,"(721, 1152)",10x100,1000,120x10x100,120000,830592,131457.62742547286,0.0005685280423481083
57,1440,100,10,20.743545662,21.01895308494568,615.94140625,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,1440x100x10,1440000,830592,40040.984966304844,0.0007415691533869818
23,24,10,100,5.105303222,5.593203783035278,420.8828125,928.0,3580.137931034483,"(721, 1152)",10x100,1000,24x10x100,24000,830592,162692.00160742187,0.0005067263018425412
59,1440,10,100,21.200118722,26.63133335113525,610.5703125,928.0,3580.137931034483,"(721, 1152)",10x100,1000,1440x10x100,1440000,830592,39178.64852040049,0.0007351025684090383
24,48,10,100,5.443145552999999,6.178604364395142,441.7421875,928.0,3580.137931034483,"(721, 1152)",10x100,1000,48x10x100,48000,830592,152594.11895429064,0.0005318401664114271
44,48,100,10,4.686773412999997,4.692432641983032,295.0546875,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,48x100x10,48000,830592,177220.4300929366,0.0003552342034356218
61,6,100,10,9.647785884,9.583571195602415,480.0625,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,6x100x10,6000,830592,86091.4628482234,0.0005779763108722454
67,2160,10,100,23.146972819999988,18.908459186553955,852.6640625,928.0,3580.137931034483,"(721, 1152)",10x100,1000,2160x10x100,2160000,830592,35883.39634988177,0.0010265738924766913
45,120,100,10,5.592056525000004,5.85095739364624,354.890625,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,120x100x10,120000,830592,148530.6874647515,0.0004272743115753583
64,720,100,10,15.840209952999984,15.820196151733398,528.078125,876.0,3792.6575342465753,"(721, 1152)",100x10,1000,720x100x10,720000,830592,52435.668622100166,0.0006357852290896132
40,24,50,50,2.3530377790000045,2.1100945472717285,301.09765625,360.0,9228.8,"(721, 1152)",50x50,2500,24x50x50,60000,830592,352987.1077348301,0.00036250969940716983
35,48,50,50,2.313253764999999,2.074958562850952,309.2890625,360.0,9228.8,"(721, 1152)",50x50,2500,48x50x50,120000,830592,359057.8831285293,0.0003723718293698952
38,120,50,50,3.024881812000004,3.0913329124450684,373.2734375,360.0,9228.8,"(721, 1152)",50x50,2500,120x50x50,300000,830592,274586.5959803652,0.0004494064925980505
72,5136,50,50,73.060261287,53.02517223358154,1003.609375,360.0,9228.8,"(721, 1152)",50x50,2500,5136x50x50,12840000,830592,11368.587866627184,0.0012083060937259208
9,12,50,50,2.094952146,2.256610631942749,282.48828125,360.0,9228.8,"(721, 1152)",50x50,2500,12x50x50,30000,830592,396473.01805241336,0.00034010474607268067
52,1440,50,50,22.08150046,21.11480474472046,1042.76171875,360.0,9228.8,"(721, 1152)",50x50,2500,1440x50x50,3600000,830592,37614.83516505563,0.0012554439709869588
53,6,50,50,3.941541571000002,4.441185474395752,306.65625,360.0,9228.8,"(721, 1152)",50x50,2500,6x50x50,15000,830592,210727.7026103449,0.0003692020269879797
58,2160,50,50,25.441905069,17.88296675682068,1254.6640625,360.0,9228.8,"(721, 1152)",50x50,2500,2160x50x50,5400000,830592,32646.611869173466,0.00151056603302223
56,720,50,50,8.329728512000003,7.1370954513549805,690.90625,360.0,9228.8,"(721, 1152)",50x50,2500,720x50x50,1800000,830592,99714.174213893,0.0008318238677955
34,1,100,50,10.687399794,10.637456893920898,493.390625,180.0,18457.6,"(721, 1152)",100x50,5000,1x100x50,5000,830592,77716.93920033774,0.0005940228475593311
