,time_chunks,lon_chunks,lat_chunks,cpu_times,wall_times,peak_memories,num_chunks,chunk_sizes,array_shape,lon x lat,lonlat_product,time x lon x lat,total_product,num_data_points,norm_cpu_times,norm_peak_memories,norm_wall_times
81,6,50,50,44.09262236599989,48.27680802345276,409.921875,856.0,24.0,"(5136,)",50x50,2500,6x50x50,15000,5136,116.48207170278,0.079813449182243,106.38648680966942
19,720,50,50,4.166076144999998,3.424853801727295,881.55859375,8.0,2568.0,"(5136,)",50x50,2500,720x50x50,1800000,5136,1232.814720912885,0.17164302837811526,1499.6260562741988
57,5136,50,100,6.390901571999962,22.164330244064328,1636.80078125,1.0,20544.0,"(5136,)",50x100,5000,5136x50x100,25680000,5136,803.6424817590714,0.3186917408975857,231.72367238010432
27,24,50,100,17.398109295999998,18.303646326065067,386.33203125,214.0,96.0,"(5136,)",50x100,5000,24x50x100,120000,5136,295.20449105241676,0.07522041106892523,280.5998274063101
53,12,100,50,20.449772505999988,26.85530424118042,338.41796875,428.0,48.0,"(5136,)",100x50,5000,12x100x50,60000,5136,251.15193816914547,0.06589134905568536,191.24713516089543
85,1,50,100,164.86542860600002,231.91980600357056,839.125,5136.0,4.0,"(5136,)",50x100,5000,1x50x100,5000,5136,31.152680361351894,0.16338103582554517,22.14558596138584
44,6,100,50,47.675629827,42.1025755405426,348.83203125,856.0,24.0,"(5136,)",100x50,5000,6x100x50,30000,5136,107.72799475616668,0.06791900919976636,121.98778659168481
65,5136,100,50,3.530503178999993,2.20477294921875,1986.78125,1.0,20544.0,"(5136,)",100x50,5000,5136x100x50,25680000,5136,1454.75014172194,0.386834355529595,2329.491570467569
10,1440,100,50,3.8954297080000018,2.6975655555725098,2344.42578125,4.0,5136.0,"(5136,)",100x50,5000,1440x100x50,7200000,5136,1318.468149855779,0.4564691941686137,1903.9389012772208
84,2160,100,50,3.7802762320000056,1.6099805831909182,1879.0546875,3.0,6848.0,"(5136,)",100x50,5000,2160x100x50,10800000,5136,1358.630873723937,0.36585955753504673,3190.100584828576
3,720,100,50,4.533426152,3.862714529037476,1410.8046875,8.0,2568.0,"(5136,)",100x50,5000,720x100x50,3600000,5136,1132.9179803081527,0.2746893861954829,1329.6348879501084
25,24,100,50,16.342538511,16.466854095458984,426.890625,214.0,96.0,"(5136,)",100x50,5000,24x100x50,120000,5136,314.27186153136546,0.08311733352803738,311.89928387209915
8,120,100,50,6.784348137,6.251946449279785,595.5390625,43.0,477.7674418604651,"(5136,)",100x50,5000,120x100x50,600000,5136,757.0366225738984,0.11595386730919004,821.5041574119144
79,1,100,50,236.680835697,204.13581705093384,726.74609375,5136.0,4.0,"(5136,)",100x50,5000,1x100x50,5000,5136,21.700109283774598,0.14150040766160435,25.15972000503233
78,2160,50,100,4.030074280999997,1.541388750076294,1866.0546875,3.0,6848.0,"(5136,)",50x100,5000,2160x50x100,10800000,5136,1274.4181972560527,0.36332840488707163,3332.0601306748763
12,120,50,100,6.546973924,7.641770839691162,618.08203125,43.0,477.7674418604651,"(5136,)",50x100,5000,120x50x100,600000,5136,784.4845663998096,0.1203430746203271,672.0955270372343
